Build,Name,Flight
8325,1511,GA
8355,1602,GA
8412,1606,GA
8458,1610,GA
8498,1702,GA
8540,1706,GA
8577,1710,GA
8634,1802,GA
8692,1806,GA
8740,1810,GA
8790,1902,GA
8842,1906,Preview
8853,1906,GA
8855,1907,Preview
8860,1908,Preview
8884,1909,Preview
8899,1910,GA
8909,1911,Preview
8913,1910,GA
8923,1912,Preview
8938,2001,Preview
8946,2001.2,Preview
8953,2002,Preview
8961,2002.2,Preview
8968,2002,GA
8974,2003,Preview
8991,2004,Preview
9023,2005,Preview
9012,2006,GA
9026,2007,Preview
9028,2008,Preview
9030,2009,Preview
9032,2010,Preview
9039,2010.2,Preview
9040,2010,GA
9042,2011,Preview
9043,2012,Preview
9044,2101,Preview
9045,2102,Preview
9047,2103,Preview
9049,2103,GA
9050,2104,Preview
9051,2105,Preview
9052,2015.2,Preview
9056,2106,Preview
9058,2107,GA
9059,2107,Preview
9060,2108,Preview